['adv', 'v', 'spro', 'conj']
['v', 'spro', 'conj', 'v']
['spro', 'conj', 'v', 'spro']
['conj', 'v', 'spro', 'v']
['v', 'spro', 'v', 's']
['spro', 'v', 's', 'spro']
['v', 's', 'spro', 's']
['s', 'spro', 's', 'a']
['spro', 's', 'a', 'v']
['s', 'a', 'v', 'spro']
['a', 'v', 'spro', 'part']
['v', 'spro', 'part', 'part']
['spro', 'part', 'part', 'v']
['part', 'part', 'v', 'v']
['part', 'v', 'v', 's']
['v', 'v', 's', 'v']
['v', 's', 'v', 'spro']
['s', 'v', 'spro', 'advpro']
['v', 'spro', 'advpro', 's']
['spro', 'advpro', 's', 'spro']
['advpro', 's', 'spro', 'part']
['s', 'spro', 'part', 'v']
['spro', 'part', 'v', 'part']
